id,name,kind,country,price,grape_kind1,grape_kind2,explain,taste1,taste2,alchol,dry,body,tannin
1,디아블로 데블스 컬랙션,레드,칠레,34000,시라,까르메네르,"와인메이커 마르셀로 파파가 디아블로 와인을 블레드하여 젊고, 세련된 스타일을 표현한 제품",블랙베리,블랙커런트,13.5,9,8,7
2,깔라나 오가닉,레드,스페인,24000,모나스트렐 오가닉,NULL,스페인 석회질 떼루아를 담은 모나스트렐 품종 100% 와인,바닐라,과일,14,9,9,8
3,코노수르 토코르날 까베르네 쏘비뇽,레드,칠레,15000,까베르네소비뇽,NULL,프랑스 보르도의 와인명산지 생떼밀리옹 1등급에 빛나는 와인,블랙베리,블랙커런트,12,10,9,9
4,산페드로 아미고 카쇼,레드,칠레,17600,까베르네소비뇽,NULL,소중한 사람들과 즐기는 친구같은 와인,레드커런트,과실,12.5,10,8,6
5,네이쳐사운드 호주 쉬라즈,레드,호주,12000,시라,쁘띠베르도,호주 대자연의 경관과 자연의 소리를 담은 호주 프리미엄 쉬라즈 와인,붉은 과일,초콜릿,14,7,8,6
6,페데리코 파테니나 까바 브뤼,스파클링,스페인,18000,자렐로,마카베오,스페인을 대표하는 전통방식 스파클링 와인,시트러스,꽃,11.5,10,5,5
7,미안더 모스카토 275*3,스파클링,남아프리카,11700,모스카토,NULL,"인생의여유, 일상에서의 행복을 주제로 만든 모스카토 와인",복숭아,시트러스,5.5,1,2,3
8,미안더 핑크 모스카토 275*3,스파클링,남아프리카,11700,모스카토,NULL,"인생의여유, 일상에서의 행복을 주제로 만든 모스카토 와인",복숭아,시트러스,5.5,1,2,3
9,콘차이토르 유니온 38 레세르바 시라,레드,칠레,19800,시라,NULL,평화와 화합을 기원하는 와인,블랙베리,초콜릿,13,10,7,5
10,핀카 라스 모라스 카베르네 소비뇽,레드,아르헨티나,19800,까베르네소비뇽,NULL,핀카 라스 모라스의 대중와인,블랙베리,초콜릿,12.5,9,8,9
11,몬떼 레온 리미티드 에디션,레드,스페인,12900,뗌쁘라니요,NULL,스페인 토착품종 뗌쁘라니요를 그대로 담아낸 코닉바틀 고급와인,"검은 체리,",시나몬,13,10,8,5
12,콘차이토로 푸두 카뻬르네소비뇽 시리즈,레드,칠레,15000,"까베르네소비뇽,",시라,콘차이토로가 만든 퀄리티 데일리 와인,자두,체리,12.5,10,6,6
13,산타헬레나 샤도네이,화이트,칠레,10000,샤도네이,NULL,합리적인 가격으로 데일리 라이프를 책임지는 대표 칠레 와인,파인애플,복숭아,13.5,10,5,4
14,트라피체 폴링스타 카베르네 소비뇽,레드,아르헨티나,20000,까베르네소비뇽,NULL,행복을 기원하는 소원 와인,열대과일,후추,12.5,7,7,6
15,트라피체 아스띠까 카베르네 소비뇽,레드,아르헨티나,14800,까베르네소비뇽,NULL,행복을 기원하는 소원 와인,열대과일,NULL,12.5,10,7,6
16,디자이아 스파클링 브뤼,스파클링,스페인,20000,파르디나,에바,가성비 스페인 스파클링,자두,시트러스,11.5,10,4,5
17,아뻬띠 드 프랑스 까베르네 소비뇽,레드,프랑스,30000,까베르네소비뇽,NULL,랑그독 지역의 선구적 와이너리,블랙베리,NULL,11.5,7,6,3
18,산타헬레나 카베르네 소비뇽,레드,칠레,14000,까베르네소비뇽,NULL,합리적인 가격으로 데일리 라이프를 책임지는 대표 칠레 와인,블랙베리,체리,13.5,10,6,3
19,모건 데이비드 블랙베리,레드,미국,12000,콩코드,NULL,웰치스 포도 주스로 유명한 포도품종인 콩코드 포드를 선별하여 사용,블랙베리,포도잼,10,1,1,7
20,울프 블라스 이글호크 카베네 소비뇽,레드,호주,20000,까베르네소비뇽,NULL,짙은 검붉은 과일 풍미가 도드라지는 와인,블랙커런트,오크,13,10,8,5
21,펠리노 모스카토,스파클링,이태리,15000,모스카토,NULL,특별한 날 가족 혹은 연인과 마시기에 적합한 와인,살구,NULL,6.5,2,1,1
22,로쉐마제 까쇼,레드,프랑스,20000,까베르네소비뇽,NULL,코카콜라만큼 강력한 프랑스 내 브랜드 파워! 프랑스 현지 판매 1위 와인,블랙커런트,체리,12.5,10,5,5
23,다인하드 한스 크리스토프,화이트,독일,27000,리슬링,실바너,지역 품종 블렌딩으로 이국적인 느낌을 주는 리즐링,살구,NULL,10,5,6,5
24,트라피체 카베르네 소비뇽,레드,아르헨티나,24000,까베르네소비뇽,NULL,트라피체의 버라이탈 와인,블랙베리,초콜릿,12.5,8,7,9
25,35 사우스 레세르바 카베네,레드,칠레,24000,까베르네소비뇽,NULL,남위 35도 칠레의 열정을 담은 가성비 와인,자몽,아몬드,14,10,6,2
26,핀카 라스 모라스 말벡,레드,아르헨티나,19800,까베르네소비뇽,NULL,핀카 라스 모라스의 대중와인,블랙베리,초콜릿,12.5,9,8,9
27,35 사우스 레세르바 카르미네르,레드,칠레,24000,카르미네르,NULL,남위 35도 칠레의 열정을 담은 가성비 와인,복숭아,건과일,14,10,6,7
28,프롤로고 리세르바 카베르네 소비뇽,레드,칠레,19000,까베르네소비뇽,NULL,프란시스코 드 아귀레를 기념하기 위한 탄생와인,복숭아,레몬,13.5,8,9,8
29,콘차이토로 프론테라 샤르도네,화이트,칠레,18000,샤르도네,NULL,부담없고 합리적인 가격! 칵테일로 즐겨도 좋은 프론테라,사과,감귤,13,5,7,2
30,네이처사운드 캘리포니아 메를로,레드,미국,15000,메를로,NULL,부드러운 맛을 자랑하는 와인,라즈베리,바닐라,13.5,10,5,5
31,콘차이토로 프론테라 카르미네르,레드,칠레,18000,"카르미네르,",카베르네소비뇽,"전 세계에서 사랑 받는 와인, 프론테라",자두,NULL,13,8,8,2
32,프론테라 카베르네 소비뇽,레드,칠레,12000,까베르네소비뇽,NULL,부담없고 합리적인 가격! 칵테일로 즐겨도 좋은 프론테라,딸기,건과일,12,8,7,6
33,콘차이토로 선라이즈 카베르네 소비뇽,레드,칠레,19800,까베르네소비뇽,NULL,"친환경 에코 와인, 선라이즈",블랙베리,딸기,13.5,10,8,6
34,콘차이토로 선라이즈 카르미네르,레드,칠레,19800,카르미네르,NULL,"친환경 에코 와인, 선라이즈",자두,건과일,13.5,10,8,6
35,트라피체 말벡,레드,아르헨티나,18000,말벡,NULL,트라피체의 버라이탈 와인,블랙베리,자두,12.5,4,5,6
36,스피어 시그니처 슈냉 블랑,화이트,남아프리카,15900,슈냉 블랑,NULL,330년 역사를 가진 남아공 프리미엄 와이너리의 시그니처 화이트와인,사과,배,13.5,9,8,9
37,스피어 시그니처 피노타지,레드,남아프리카,15900,피노타지,NULL,330년 역사를 가진 남아공 프리미엄 와이너리의 시그니처 화이트와인,검은 체리,시나몬,14,8,7,8
38,토로 셀렉시옹 슈넹 토론테스,화이트,아르헨티나,22000,"슈냉블랑,",토론테스,아르헨티나 넘버원 베스트 셀링 브랜드,아로마,배,13,10,3,1
39,토로 셀렉시옹 시라 말백,레드,아르헨티나,22000,말벡,시라,아르헨티나 넘버원 베스트 셀링 브랜드,자두,블랙베리,13,10,6,5
40,벨 꼴레 모스카토,화이트,이태리,17900,모스카토,NULL,달콤한 꿈을 마시다! 17세기부터 시작된 역사와 퀄리티를 담은 벨꼴레 모스카토 다스티,오렌지,복숭아,5.5,1,4,8
41,발렌틴 레세르바 카르미네르,레드,칠레,27800,까르미네르,NULL,국내엔 잘 알려지지 않았지만 오랜 역사를 지닌 칠레의 보석같은 와인,루비레드,베리,13,10,9,3
42,발렌틴 레세르바 카베르네 소비뇽,레드,칠레,27800,까베르네소비뇽,NULL,국내엔 잘 알려지지 않았지만 오랜 역사를 지닌 칠레의 보석같은 와인,루비레드,베리,13,10,9,6
43,빌라엠 SOME 로제,스파클링,이태리,18000,브라케토,NULL,썸 타기 좋은 와인,붉은 과일,NULL,3,2,1,1
44,산타헬레나 시글로 메를로,레드,칠레,14000,메를로,NULL,센트럴 밸리의 전설에서 유래된 칠레 와인의 마법을 경험할 수 있는 와인,붉은 과일,스파이시,13,10,8,6
45,산타헬레나 시글로  소비뇽블랑,화이트,칠레,28000,소비뇽 블랑,NULL,전 세계에서 1초에 1병씩 팔리는 베스트셀링 와인,시트러스,라즈베리,12.5,10,4,6
46,9 라이브스 리저브 메를로,레드,칠레,35000,메를로,NULL,또 다른 나를 발견하는 시간,붉은 과일,후추,13.5,8,6,8
47,닥터린드만빈90모스카토,화이트,호주,20000,머스캣,고르도,"낮은 알코올 도수, 달콤한 맛이 일품인 가볍고 프레쉬한 스위트 와인",시트러스,머스크,8,3,1,1
48,산타아나 글래식 말벡,레드,아르헨티나,19900,말벡,NULL,아르헨티나 현지 판매 1위 말벡,자두,체리,13,10,5,5
49,닥터린드만빈45카베르네소비뇽,레드,호주,20000,까베르네소비뇽,NULL,과일향이 풍부한 신선한 레드 와인,검붉은베리,삼나무,13.5,7,4,4
